object,night,t_fit,alpha,delta,alpha_dot,delta_dot,a_kep,e,i,Omega,omega,M,a_equ,h,k,p,q,lambda
2008WO2,2,54791.28949074074,0.8232332654780771,0.2791494150050164,0.005660540916153423,-0.024150098473910475,1.02514,0.188168,2.01,238.016,85.881,19.388,1.024882210128664,-0.111731439345572,0.152373640826295,-0.014936206069678,-0.009258600252726,36.9584844906024
2008WO2,3,54792.12771990741,0.8370264571124838,0.2617479975489518,0.004185462174064014,-0.016030740231485652,1.02514,0.188168,2.01,238.016,85.881,19.388,1.024882210128664,-0.111731439345572,0.152373640826295,-0.014936206069678,-0.009258600252726,36.9584844906024
2019VM4,1,58792.33547453704,0.5809393865110076,0.31925465714744056,-0.012607401815444064,-0.15021635929986132,0.968991,0.106549,26.951,222.509,319.496,142.896,0.9691240994875,-0.003705570797102,-0.106444833107608,-0.162026704398717,-0.176606361382889,51.4580090485788
2019VM4,2,58793.2446412037,0.5737362672439226,0.18002344013799845,-0.013031509267028535,-0.15247227070335775,0.968991,0.106549,26.951,222.509,319.496,142.896,0.9691240994875,-0.003705570797102,-0.106444833107608,-0.162026704398717,-0.176606361382889,51.4580090485788
2019VM4,3,58794.22709490741,0.5661157233974025,0.029530970943744055,-0.011584357899358008,-0.15282272273410483,0.968991,0.106549,26.951,222.509,319.496,142.896,0.9691240994875,-0.003705570797102,-0.106444833107608,-0.162026704398717,-0.176606361382889,51.4580090485788
2019VM4,4,58795.177615740744,0.5593511181048811,-0.1098253279954243,-0.009923656849423423,-0.14395125198643655,0.968991,0.106549,26.951,222.509,319.496,142.896,0.9691240994875,-0.003705570797102,-0.106444833107608,-0.162026704398717,-0.176606361382889,51.4580090485788
2024AB3,1,60319.414305555554,2.0745434365928035,0.2730330056041385,0.009847531557056755,-0.03702117447483033,2.18208,0.686774,5.377,286.033,266.323,131.574,2.1855507455777463,-0.146682052738169,-0.671156940357386,-0.045285782058455,0.013051295702978,177.2400062838887
2024AB3,2,60320.29640046296,2.087438292716798,0.23609854189890694,0.012583981892987595,-0.047686175580338386,2.18208,0.686774,5.377,286.033,266.323,131.574,2.1855507455777463,-0.146682052738169,-0.671156940357386,-0.045285782058455,0.013051295702978,177.2400062838887
2024AB3,3,60322.34332175926,2.1343529611765626,0.09089480818914025,0.028097839882487593,-0.1036372586619203,2.18208,0.686774,5.377,286.033,266.323,131.574,2.1855507455777463,-0.146682052738169,-0.671156940357386,-0.045285782058455,0.013051295702978,177.2400062838887
2007TE15,1,54381.32506944444,6.233594685366254,-0.06660370351082805,0.0756571122799059,-0.04362568451455218,1.81325,0.487983,13.32,192.803,130.013,87.972,1.8133712847471604,-0.2957183518666,0.388776905455139,-0.02619127213144,-0.113663055824504,339.6419634716518
2007TE15,2,54382.28292824074,0.02005092422332819,-0.10469309036719875,0.06284255204582223,-0.035786674842256616,1.81325,0.487983,13.32,192.803,130.013,87.972,1.8133712847471604,-0.2957183518666,0.388776905455139,-0.02619127213144,-0.113663055824504,339.6419634716518
2007TE15,3,54384.21056712963,0.12917545404270864,-0.16219005369206527,0.04518681133026803,-0.024285618918838736,1.81325,0.487983,13.32,192.803,130.013,87.972,1.8133712847471604,-0.2957183518666,0.388776905455139,-0.02619127213144,-0.113663055824504,339.6419634716518
2015KT154,1,57168.3281712963,4.190377727185184,-0.06698379743681794,0.013930404288544196,0.07238071644084698,1.64201,0.326801,23.855,240.635,14.989,255.762,1.6420047522770425,-0.316338571928476,-0.08155074651179,-0.184193401944998,-0.10345849429766,250.3908907920641
2015KT154,2,57169.250289351854,4.205178846462617,-0.0011131322118274947,0.013538359884080364,0.07003244908423767,1.64201,0.326801,23.855,240.635,14.989,255.762,1.6420047522770425,-0.316338571928476,-0.08155074651179,-0.184193401944998,-0.10345849429766,250.3908907920641
2015KT154,3,57170.256064814814,4.2206868240871085,0.06837957602473228,0.015410222490465657,0.07043549759723582,1.64201,0.326801,23.855,240.635,14.989,255.762,1.6420047522770425,-0.316338571928476,-0.08155074651179,-0.184193401944998,-0.10345849429766,250.3908907920641
2024SF3,1,60578.43096064815,0.3967378463098912,-0.13738213762969032,0.01940547713866181,0.03387471119094698,2.23973,0.535061,2.403,30.166,310.678,71.042,2.2399966751356897,-0.175577083249611,0.505358646129867,0.010547626599872,0.018125229279825,346.8499569794865
2024SF3,2,60579.46597222222,0.4176870333215792,-0.10422214235736894,0.01654731560455844,0.030812185931485332,2.23973,0.535061,2.403,30.166,310.678,71.042,2.2399966751356897,-0.175577083249611,0.505358646129867,0.010547626599872,0.018125229279825,346.8499569794865
2024SF3,3,60581.210069444445,0.44860488652218916,-0.05391031171201818,0.013271871765498575,0.02648069035221019,2.23973,0.535061,2.403,30.166,310.678,71.042,2.2399966751356897,-0.175577083249611,0.505358646129867,0.010547626599872,0.018125229279825,346.8499569794865
2017WP16,1,58083.424212962964,1.088809836666751,0.34821839608428645,0.09032807431231049,0.03786426296534273,2.35341,0.564121,2.238,65.147,347.802,24.043,2.3525895332873255,0.451918284759491,0.341801133642477,0.01778289160074,0.008223096262549,55.4967562420443
2017WP16,2,58084.189247685186,1.1602774334333104,0.3759351942333186,0.1096654765024141,0.03963721901163808,2.35341,0.564121,2.238,65.147,347.802,24.043,2.3525895332873255,0.451918284759491,0.341801133642477,0.01778289160074,0.008223096262549,55.4967562420443
2017RR17,1,57997.411412037036,5.828185243389881,-0.10777699019273651,0.0017460614853916923,-0.04889323974475701,1.28632,0.158443,26.686,159.322,239.711,47.245,1.286368723559218,0.099773206907567,0.123213826376242,0.083621546649546,-0.221969193842032,353.3827857095346
2017RR17,2,57998.42832175926,5.830926137536034,-0.1584342021045097,0.001978184997540211,-0.05194587873961609,1.28632,0.158443,26.686,159.322,239.711,47.245,1.286368723559218,0.099773206907567,0.123213826376242,0.083621546649546,-0.221969193842032,353.3827857095346
2022YV2,1,59934.39805555555,1.97441796984081,0.9553208013777382,0.005103276763549047,0.02230580126968107,1.24112,0.132886,9.495,71.051,19.072,257.54,1.2411104747808415,0.132894560635833,-9.9747882779e-05,0.078587641543747,0.02693919615081,91.1748993031627
2022YV2,2,59935.241956018515,1.9821305798053728,0.9739666870718429,0.005825244308798674,0.02294107881166288,1.24112,0.132886,9.495,71.051,19.072,257.54,1.2411104747808415,0.132894560635833,-9.9747882779e-05,0.078587641543747,0.02693919615081,91.1748993031627
2022YV2,3,59936.28539351852,1.990885151333376,0.9963953799941728,0.004674974725730863,0.017178972644614987,1.24112,0.132886,9.495,71.051,19.072,257.54,1.2411104747808415,0.132894560635833,-9.9747882779e-05,0.078587641543747,0.02693919615081,91.1748993031627
2022US24,1,59881.38165509259,0.43211247047752094,0.6954367185071801,0.011370599512346757,-0.022573971662041004,1.33243,0.171456,10.348,232.493,153.101,235.696,1.332297960791113,0.073905155434556,0.154815003966988,-0.071838867670122,-0.055121879914704,33.1835039684493
